,ts_gps,x,y,z,intensity,red,green,blue
0,1648200140000000051,0.831773626336149,0.8123752081697118,0.903624510908586,159,90,248,158
1,1648200140000000102,0.5895183320387692,0.2223982881617409,0.5460139446290156,144,54,135,48
2,1648200140000000153,0.6520618452790364,0.1874217054401363,0.8295470645313564,149,155,17,23
3,1648200140000000204,0.0388597071389668,0.131132184273623,0.8063669836484509,63,147,248,239
4,1648200140000000255,0.3851288528618409,0.7653178024744111,0.3203197888220671,148,121,75,217
5,1648200140000000306,0.087003355351797,0.5069936233020946,0.9871752603557388,17,131,31,131
6,1648200140000000357,0.9037691836393326,0.810170883812222,0.8690803007036795,80,112,224,209
7,1648200140000000408,0.892931196645877,0.5180611870451031,0.7395697796011053,23,183,103,86
8,1648200140000000459,0.5133130917092253,0.0485436215507618,0.4525827755022509,53,75,163,134
9,1648200140000000510,0.1647493730567267,0.2139606529201735,0.948485273161832,19,241,75,167
